elapsed_ms,raw_counts,filtered_counts,runtime_zero_counts,delta_counts,torque_nm,cadence_rpm,power_watts,ble_power_watts,ble_cadence_rpm,revolutions,corrected_gyro_dps,forward_velocity_dps,crank_angle_degrees,esp_temperature_c,ble_connected
25,-1427477,-1427494,-1427982,488,-1.04,0.00,0,0,0.00,0,-0.5,0.5,0.00,34.1,1
229,-1427453,-1427451,-1427982,531,-1.14,0.00,0,0,0.00,0,-2.3,2.3,0.00,34.1,1
433,-1427591,-1427580,-1427982,402,-0.88,0.00,0,0,0.00,0,-1.7,1.7,0.00,34.1,1
637,-1427917,-1427860,-1427982,122,-0.28,0.00,0,0,0.00,0,-2.2,2.2,0.00,34.1,1
846,-1428083,-1428038,-1427982,-56,0.04,0.00,0,0,0.00,0,-9.9,9.9,1.23,34.1,1
1052,-1427385,-1427476,-1427982,506,-0.93,0.00,0,0,0.00,0,-17.1,17.1,4.31,34.1,1
1256,-1427503,-1427502,-1427982,480,-1.03,0.00,0,0,0.00,0,-10.2,10.2,7.17,34.1,1
1460,-1426590,-1426494,-1427982,1488,-3.28,0.00,0,0,0.00,0,4.2,-4.2,7.53,34.1,1
1664,-1422506,-1423053,-1427982,4929,-9.62,0.00,0,0,0.00,0,10.2,-10.2,7.53,34.1,1
1873,-1419796,-1420028,-1427982,7954,-16.96,0.00,0,0,0.00,0,10.7,-10.7,7.53,34.1,1
2079,-1414417,-1415146,-1427982,12836,-26.24,0.00,0,0,0.00,0,-2.4,2.4,7.53,34.1,1
2283,-1409305,-1409880,-1427982,18102,-37.82,0.00,0,0,0.00,0,-18.5,18.5,9.95,34.1,1
2487,-1410317,-1410137,-1427982,17845,-38.36,0.00,0,0,0.00,0,-46.5,46.5,17.26,34.1,1
2691,-1412210,-1411995,-1427982,15987,-34.40,0.00,0,0,0.00,0,-71.2,71.2,29.98,34.1,1
2900,-1420622,-1419754,-1427982,8228,-19.21,0.00,0,0,0.00,0,-97.5,97.5,48.03,34.1,1
3104,-1429012,-1427932,-1427982,50,-0.55,0.00,0,0,0.00,0,-138.4,138.4,72.78,34.1,1
3313,-1438395,-1437238,-1427982,-9256,19.46,0.00,0,0,0.00,0,-180.5,180.5,107.64,34.1,1
3517,-1449791,-1448863,-1427982,-20881,43.15,0.00,0,0,0.00,0,-192.7,192.7,146.62,34.1,1
3721,-1452397,-1452168,-1427982,-24186,51.48,0.00,0,0,0.00,0,-177.2,177.2,184.46,34.1,1
