Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C5, C8",0603,3,100nF,
C2,0603,1,4.7µF,
"C3, C4",0603,2,1µF,
C6,0603,1,10µF,
"D2",0603,2,LED,
"D3",0603,2,LED,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,
J2,PinHeader_2x03_P2.54mm_Vertical,1,Conn_02x03_Odd_Even,
J_BAT1,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,JST-PH Battery,
"J_BOTTOM1, J_TOP1",JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,2,Conn_01x04,
"R1, R2",0603,2,5.1k,
"R10, R11, R8, R9",0603,4,10k,
R3,0603,1,2k,
"R4, R5",0603,2,4.7k,
"R6, R7",0603,2,1k,
"R_BAT_BOT1, R_BAT_TOP1, R_USB_BOT1, R_USB_TOP1",0603,4,100k,
"SW1, SW2",SW_SPST_EVQP2_MiddlePushTravel_H2.5mm,2,SW_Push,
U1,SOT-23-5,1,MCP73831-2-OT,
U2,SOT-23-5,1,ME6211C33M5,
U4,SOIC-16_3.9x9.9mm_P1.27mm,1,HX711,
U5,ESP32-C3-MINI-1,1,ESP32-C3-MINI-1,
U6,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,1,LSM6DS3,
