Designator,Mid X,Mid Y,Rotation,Layer
C1,176.025,-113.25,0.0,top
C2,176.025,-114.75,0.0,top
C3,172.0,-118.5,90.0,top
C4,173.5,-118.5,90.0,top
C5,135.725,-100.49,0.0,top
C6,135.725,-103.0,0.0,top
C8,173.0,-102.725,270.0,top
D2,182.055,-106.25,180.0,top
D3,182.055,-104.726,180.0,top
J1,181.5,-98.5,90.0,top
J2,167.98,-97.96,0.0,top
J_BAT1,181.25,-111.75,270.0,top
J_BOTTOM1,127.25,-112.9851,0.0,top
J_TOP1,127.25,-96.0,180.0,top
R1,174.25,-98.5,0.0,top
R10,170.371,-111.252,0.0,top
R11,173.7,-106.75,90.0,top
R2,174.5,-97.0,0.0,top
R3,175.25,-106.75,270.0,top
R4,165.0,-103.0,180.0,top
R5,165.0,-104.5,180.0,top
R6,177.991,-106.25,180.0,top
R7,177.991,-104.75,180.0,top
R8,165.0,-106.024,0.0,top
R9,170.371,-109.728,0.0,top
R_BAT_BOT1,172.75,-113.25,0.0,top
R_BAT_TOP1,172.75,-114.75,180.0,top
R_USB_BOT1,174.5,-94.0,0.0,top
R_USB_TOP1,174.5,-95.5,180.0,top
SW1,164.075,-113.1,0.0,top
SW2,164.075,-118.15,0.0,top
U1,176.05,-110.3625,270.0,top
U2,176.0,-118.0,90.0,top
U4,127.675,-104.025,180.0,top
U5,155.76,-95.852,0.0,top
U6,170.3,-106.8,0.0,top
